time_s,true_angle_deg,measurement_deg,reactive_beam_deg,cv_beam_deg,ca_beam_deg
5.1000000000000005,-5.596499999999997,-4.952843806590315,-7.160541957239412,-7.807609527148489,-5.801075712389866
5.15,-5.267124999999998,,-4.952843806590315,-6.955687154031869,-5.117202289609374
5.2,-4.936,,-4.952843806590315,-6.7125885902119755,-4.772484439260069
5.25,-4.603125,,-4.952843806590315,-6.469490026392082,-4.425821623348121
5.300000000000001,-4.268499999999996,,-4.952843806590315,-6.226391462572188,-4.07721384187353
5.3500000000000005,-3.9321249999999974,,-4.952843806590315,-5.983292898752294,-3.726661094836297
5.4,-3.5939999999999976,-4.860684092067442,-4.952843806590315,-5.740194334932401,-3.3741633822364214
5.45,-3.2541249999999984,,-4.860684092067442,-5.312441060190611,-3.6163156076051877
5.5,-2.9125000000000014,,-4.860684092067442,-5.066353906128243,-3.2814528872236757
5.550000000000001,-2.569124999999996,,-4.860684092067442,-4.820266752065875,-2.9449659839049627
5.6000000000000005,-2.2239999999999984,,-4.860684092067442,-4.574179598003506,-2.606854897649048
5.65,-1.877124999999996,,-4.860684092067442,-4.328092443941138,-2.2671196284559327
5.7,-1.5284999999999993,,-4.860684092067442,-4.0820052898787695,-1.925760176325616
5.75,-1.1781250000000014,,-4.860684092067442,-3.835918135816401,-1.582776541258098
5.800000000000001,-0.8259999999999952,,-4.860684092067442,-3.589830981754033,-1.238168723253379
5.8500000000000005,-0.47212499999999835,,-4.860684092067442,-3.3437438276916644,-0.8919367223114586
5.9,-0.11649999999999672,,-4.860684092067442,-3.097656673629296,-0.5440805384323371
5.95,0.24087500000000261,,-4.860684092067442,-2.8515695195669277,-0.1946001716160143
6.0,0.5999999999999979,0.9309719568872846,-4.860684092067442,-2.6054823655045594,0.15650437813750961
6.050000000000001,0.960875000000005,,0.9309719568872846,-1.5204647435368146,0.886276703393749
6.1000000000000005,1.3235000000000028,,0.9309719568872846,-1.2613201590730394,1.2527510847077172
6.15,1.6878750000000036,,0.9309719568872846,-1.0021755746092642,1.6210134049349225
6.2,2.054000000000002,,0.9309719568872846,-0.743030990145489,1.9910636640753647
6.25,2.421875,,0.9309719568872846,-0.4838864056817138,2.362901862129044
6.300000000000001,2.7915000000000045,1.6299789419421111,0.9309719568872846,-0.22474182121793862,2.7365279990959603
6.3500000000000005,3.162875000000003,,1.6299789419421111,0.44861237576436547,2.6461376488526276
6.4,3.5360000000000014,,1.6299789419421111,0.7140934153410998,3.009116511346007
6.45,3.9108750000000008,,1.6299789419421111,0.9795744549178342,3.3736990358404486
6.5,4.2875,,1.6299789419421111,1.2450554944945686,3.7398852223359524
6.550000000000001,4.665875000000003,,1.6299789419421111,1.510536534071303,4.107675070832518
6.6000000000000005,5.046000000000003,6.185719841994759,1.6299789419421111,1.7760175736480375,4.477068581330146
6.65,5.427875000000004,,6.185719841994759,2.978834975520047,5.499128824602437
6.7,5.8115000000000006,,6.185719841994759,3.258506730090322,5.89082463581591
6.75,6.196874999999999,,6.185719841994759,3.5381784846605973,6.284363641703122
6.800000000000001,6.584000000000003,,6.185719841994759,3.8178502392308724,6.679745842264071
6.8500000000000005,6.972875000000002,,6.185719841994759,4.097521993801148,7.07697123749876
6.9,7.3635000000000055,6.032453888100032,6.185719841994759,4.377193748371423,7.4760398274071855
6.95,7.755875000000003,,6.032453888100032,4.994798501900511,7.365450598972839
7.0,8.149999999999999,,6.032453888100032,5.27956084939804,7.753685813551144
7.050000000000001,8.545875000000006,,6.032453888100032,5.564323196895569,8.143586586700266
7.1000000000000005,8.9435,,6.032453888100032,5.849085544393098,8.535152918420206
7.15,9.342875000000003,,6.032453888100032,6.133847891890627,8.928384808710964
7.2,9.744000000000003,11.267633429508688,6.032453888100032,6.418610239388157,9.32328225757254
7.25,10.146874999999998,,11.267633429508688,7.661442749296183,10.371634555359753
7.300000000000001,10.551500000000004,,11.267633429508688,7.960623785074736,10.78786823992747
7.3500000000000005,10.957875000000005,,11.267633429508688,8.259804820853288,11.205983544378396
7.4,11.366000000000003,,11.267633429508688,8.55898585663184,11.625980468712534
7.45,11.775875000000003,,11.267633429508688,8.858166892410393,12.047859012929882
7.5,12.1875,13.141825287733688,11.267633429508688,9.157347928188946,12.47161917703044
7.550000000000001,12.600875000000006,,13.141825287733688,10.223326240896167,13.112322697456054
7.6000000000000005,13.016000000000002,,13.141825287733688,10.534069628579042,13.545651099453565
7.65,13.432875000000003,,13.141825287733688,10.844813016261917,13.980929766895212
7.7,13.851500000000001,,13.141825287733688,11.155556403944791,14.418158699780998
7.75,14.271874999999998,,13.141825287733688,11.466299791627666,14.85733789811092
7.800000000000001,14.694000000000003,,13.141825287733688,11.77704317931054,15.298467361884981
7.8500000000000005,15.117875000000002,,13.141825287733688,12.087786566993415,15.741547091103179
7.9,15.543500000000005,,13.141825287733688,12.39852995467629,16.186577085765514
7.95,15.970875,,13.141825287733688,12.709273342359165,16.63355734587199
8.0,16.4,,13.141825287733688,13.02001673004204,17.0824878714226
8.05,16.830875000000002,,13.141825287733688,13.330760117724914,17.53336866241735
8.1,17.263499999999993,17.622179107929135,13.141825287733688,13.641503505407789,17.986199718856234
8.15,17.697875000000003,,17.622179107929135,14.82096497807943,18.302153407707422
8.200000000000001,18.134000000000004,,17.622179107929135,15.144707873443021,18.755343160012696
8.25,18.571875,,17.622179107929135,15.468450768806612,19.210442739551592
8.3,19.011500000000005,,17.622179107929135,15.792193664170203,19.66745214632411
8.35,19.452874999999995,,17.622179107929135,16.115936559533793,20.12637138033025
8.4,19.896000000000004,20.673309359222216,17.622179107929135,16.439679454897384,20.587200441570015
8.450000000000001,20.340875000000004,,20.673309359222216,17.644511089619932,21.079538932791053
8.5,20.787499999999998,,20.673309359222216,17.981371792850993,21.54492409307579
8.55,21.235875000000007,,20.673309359222216,18.318232496082054,22.012227382525722
8.6,21.685999999999993,,20.673309359222216,18.655093199313114,22.481448801140854
8.65,22.137875,,20.673309359222216,18.991953902544175,22.952588348921182
8.700000000000001,22.591500000000007,20.505927153403377,20.673309359222216,19.328814605775236,23.42564602586671
8.75,23.046875,,20.505927153403377,19.901460363306946,22.969092546204987
8.8,23.504000000000005,,20.505927153403377,20.24183034195717,23.423187584474746
8.85,23.962874999999993,,20.505927153403377,20.58220032060739,23.878944791316968
8.9,24.4235,,20.505927153403377,20.922570299257615,24.336364166731656
8.950000000000001,24.885875000000006,,20.505927153403377,21.262940277907838,24.795445710718806
9.0,25.349999999999998,26.391351641415383,20.505927153403377,21.60331025655806,25.25618942327842
9.05,25.815875000000005,,26.391351641415383,22.873911617664106,26.061492101157533
9.1,26.283499999999993,,26.391351641415383,23.228168416264744,26.533869725594645
9.15,26.752875000000007,,26.391351641415383,23.58242521486538,27.00800298036867
9.200000000000001,27.224000000000007,,26.391351641415383,23.93668201346602,27.48389186547961
9.25,27.696875,,26.391351641415383,24.290938812066656,27.961536380927463
9.3,28.1715,28.776846102195847,26.391351641415383,24.645195610667294,28.440936526712232
9.35,28.647874999999992,,28.776846102195847,25.783043421279157,29.019539512524286
9.4,29.126000000000005,,28.776846102195847,26.14905838090479,29.50480039716588
9.450000000000001,29.605875000000005,,28.776846102195847,26.515073340530424,29.991843483610992
9.5,30.0875,,28.776846102195847,26.88108830015606,30.480668771859627
9.55,30.570875000000008,,28.776846102195847,27.247103259781692,30.97127626191178
9.600000000000001,31.05600000000001,31.67614670320459,28.776846102195847,27.613118219407326,31.463665953767453
9.65,31.542875000000002,,31.67614670320459,28.735410488964035,32.01766629688081
9.700000000000001,32.03150000000001,,31.67614670320459,29.112845589273494,32.515060431330966
9.75,32.521874999999994,,31.67614670320459,29.490280689582953,33.014253174604455
9.8,33.01400000000001,,31.67614670320459,29.86771578989241,33.51524452670128
9.850000000000001,33.50787500000001,,31.67614670320459,30.24515089020187,34.01803448762144
9.9,34.0035,,31.67614670320459,30.62258599051133,34.52262305736494
9.950000000000001,34.50087500000001,,31.67614670320459,31.000021090820788,35.02901023593177
10.0,35.0,,31.67614670320459,31.377456191130246,35.53719602332194
10.05,35.50087500000001,,31.67614670320459,31.754891291439705,36.04718041953545
10.100000000000001,36.00350000000001,,31.67614670320459,32.13232639174916,36.5589634245723
10.15,36.507875,,31.67614670320459,32.509761492058615,37.07254503843248
10.200000000000001,37.01400000000001,,31.67614670320459,32.88719659236807,37.587925261116
10.25,37.521875,,31.67614670320459,33.264631692677526,38.10510409262285
10.3,38.03150000000001,,31.67614670320459,33.64206679298698,38.62408153295304
10.350000000000001,38.54287500000001,,31.67614670320459,34.019501893296436,39.14485758210657
10.4,39.056,,31.67614670320459,34.39693699360589,39.66743224008343
10.450000000000001,39.57087500000001,,31.67614670320459,34.774372093915346,40.191805506883625
10.5,40.0875,,31.67614670320459,35.1518071942248,40.71797738250716
10.55,40.605875,,31.67614670320459,35.52924229453426,41.245947866954026
10.600000000000001,41.12600000000001,,31.67614670320459,35.90667739484371,41.77571696022423
10.65,41.647875000000006,,31.67614670320459,36.28411249515317,42.30728466231777
10.700000000000001,42.17150000000001,,31.67614670320459,36.66154759546262,42.840650973234645
10.75,42.696875,,31.67614670320459,37.03898269577208,43.375815892974856
10.8,43.224000000000004,44.67165981967604,31.67614670320459,37.41641779608153,43.9127794215384
10.850000000000001,43.75287500000001,,44.67165981967604,39.819827099144135,44.80930299055855
10.9,44.283500000000004,,44.67165981967604,40.22631105784934,45.35781578696173
10.950000000000001,44.815875000000005,,44.67165981967604,40.63279501655454,45.90821326649834
11.0,45.349999999999994,,44.67165981967604,41.03927897525974,46.46049542916839
11.05,45.88587500000001,,44.67165981967604,41.44576293396494,47.01466227497187
11.100000000000001,46.42350000000001,49.07059820793116,44.67165981967604,41.852246892670145,47.57071380390878
11.15,46.962875000000004,,49.07059820793116,44.06440437097675,48.70461109026963
11.200000000000001,47.504000000000005,,49.07059820793116,44.49639429062001,49.27703038641796
11.25,48.04687499999999,,49.07059820793116,44.92838421026327,49.85146985990328
11.3,48.59150000000001,,49.07059820793116,45.360374129906525,50.42792951072559
11.350000000000001,49.13787500000001,,49.07059820793116,45.79236404954978,51.00640933888488
11.4,49.686,48.88288415224325,49.07059820793116,46.22435396919304,51.586909344381155
11.450000000000001,50.23587500000001,,48.88288415224325,47.2670828798978,51.26149072671014
11.5,50.787499999999994,,48.88288415224325,47.70766151730309,51.826198491813706
11.55,51.34087500000001,,48.88288415224325,48.148240154708375,52.392711347203445
11.600000000000001,51.896000000000015,,48.88288415224325,48.58881879211366,52.96102929287936
11.65,52.452875,,48.88288415224325,49.02939742951895,53.53115232884145
11.700000000000001,53.011500000000005,,48.88288415224325,49.46997606692424,54.10308045508972
11.75,53.571875,,48.88288415224325,49.91055470432953,54.67681367162416
11.8,54.13400000000001,,48.88288415224325,50.351133341734815,55.25235197844478
11.850000000000001,54.69787500000001,,48.88288415224325,50.7917119791401,55.82969537555157
11.9,55.26350000000001,,48.88288415224325,51.23229061654539,56.40884386294454
