time_s,true_range_m,measurement_m,tracked_range_m,tracked_velocity_mps
12.4,255.00000000000003,252.20843630394177,252.3387640587741,12.48617253942429
12.5,256.4,259.2668921991268,255.97277588500884,16.46183015991148
12.600000000000001,257.8,254.49594839422556,256.30729448815475,14.275722805169384
12.700000000000001,259.20000000000005,254.57575279806542,256.40803890101705,12.064343025745004
12.8,260.6,nan,257.61447320359156,12.064343025745004
12.9,262.0,267.4201024982367,262.4325694028357,18.083779520194447
13.0,263.4,nan,264.24094735485517,18.083779520194447
13.100000000000001,264.8,261.10084957541505,263.9709654996616,14.61984650817276
13.200000000000001,266.20000000000005,263.7949815920529,264.74500335593996,13.473268517274603
13.3,267.6,264.89299940242194,265.5886112694643,12.633736953602757
13.4,269.0,267.19631997046827,266.9966056671949,12.874771457553347
13.5,270.4,274.4442176363579,270.8713394387815,17.1868658339387
13.600000000000001,271.8,nan,272.5900260221754,17.1868658339387
13.700000000000001,273.20000000000005,267.36975631868205,271.3943509650766,12.329596433117647
13.8,274.6,274.5910830522123,273.4520950347944,13.704237143794396
13.9,276.0,279.1514643502575,276.640675901629,16.73449906455296
14.0,277.4,nan,278.31412580808427,16.73449906455296
14.100000000000001,278.8,279.4489239595072,279.76134197742596,16.357442836030327
14.200000000000001,280.20000000000005,282.0903865267776,281.68827237264344,16.84275302205433
14.3,281.6,282.13440331314644,282.85252704293384,15.97605196886262
14.4,283.0,283.78486266613857,284.17071901887385,15.510363267285541
14.5,284.4,288.34778055276195,286.8246859326094,17.34858091229723
14.600000000000001,285.8,287.8326871377234,288.25426413167054,16.83978109201621
14.700000000000001,287.20000000000005,290.63815378090635,290.2322050876865,17.329719170040136
14.8,288.6,289.1191290534216,290.7698368651576,15.337485604151885
14.9,290.0,289.3089791936649,291.04585080817145,13.241261241816408
15.0,291.40000000000003,290.09486220120937,291.41442874527274,11.648680930015797
15.100000000000001,292.8,300.268368068131,295.8087067548141,17.031030790915462
15.200000000000001,294.20000000000005,295.61757409872945,296.7162308251317,15.705065776292116
15.3,295.6,292.60210141745256,295.8991902889314,11.725820586576294
15.4,297.0,297.00633643611036,297.04428926476794,11.680015448541253
15.5,298.40000000000003,304.23992478460684,300.74389707911564,15.8993592310306
15.600000000000001,299.8,304.82156092035825,303.3786787278373,17.640768773728297
15.700000000000001,301.20000000000005,301.5763960858088,303.6448846070616,15.144317110147375
15.8,302.6,304.14854289846437,304.73479148183935,14.43677571641897
15.9,304.0,298.7996549204607,303.0793671176126,9.27160582330457
16.0,305.40000000000003,310.96238104103037,306.9279861031997,14.140703162065705
16.1,306.8,305.22853543561575,307.03437760621426,11.96123847341234
16.2,308.20000000000005,308.88563970918636,308.50565952092046,12.419835252353932
16.3,309.6,305.66031723536184,308.0309662056224,9.558707184798113
16.400000000000002,311.0,309.8533611940483,309.35077711747954,10.165274173760402
16.5,312.40000000000003,nan,310.3673045348556,10.165274173760402
16.6,313.8,310.16971806250973,310.8739041185484,9.31539445095508
16.7,315.20000000000005,314.0356338010626,312.74212346335975,10.876527617148168
16.8,316.6,316.10759100029975,314.78645843066914,12.470997959805796
16.900000000000002,318.0,316.28083477984603,316.13741437899216,12.644091547043196
17.0,319.40000000000003,321.8990828812998,319.29067245968986,15.792173090365539
17.1,320.8,316.81222842319784,319.1656720036044,12.951810148495538
17.2,322.20000000000005,322.11806354853314,321.15688144108725,14.111857519550956
17.3,323.6,318.645841620953,320.9207324527648,11.366299619088403
17.400000000000002,325.0,327.32551764142255,324.2699876099082,15.054008277812626
17.5,326.40000000000003,321.082412758351,323.8043386523673,11.768925302275694
17.6,327.8,nan,324.98123118259485,11.768925302275694
17.7,329.20000000000005,324.1004230787095,325.29388944649503,10.32853485839666
17.8,330.6,331.6173675766827,328.54880528296087,14.03197210944025
17.900000000000002,332.0,331.0175235595505,330.39952134147603,14.777836855392179
18.0,333.40000000000003,334.69281742802804,333.0598202354406,16.748695536101117
18.1,334.8,337.8020281204415,336.02297188823485,18.895832368074657
18.2,336.20000000000005,338.84678906447857,338.30493337960553,19.549796125680025
18.3,337.6,332.58679105990234,337.0372017806196,14.178610773090174
18.400000000000002,339.0,340.9853763185183,339.5177945113763,15.949830195502962
18.5,340.40000000000003,338.5271477670099,340.0268130300816,14.139889360761313
18.6,341.8,347.4250606323024,343.9541906059385,18.32887042706259
18.7,343.20000000000005,336.83770997288116,342.028343224824,12.064313054028073
18.8,344.6,348.33585436791213,345.37722806205466,15.635068940407777
