trial,bits,iteration,sum_rate
33,2,0,1.706019020167783
33,2,1,4.534955147264033
33,2,2,5.190600529742946
33,3,0,1.706019020167783
33,3,1,5.1164196798206865
33,3,2,5.787476763964731
34,1,0,1.5476919644093576
34,1,1,5.05996871461498
34,1,2,5.076077568322534
34,2,0,1.5476919644093576
34,2,1,5.021842311221228
34,2,2,5.281948246179633
34,3,0,1.5476919644093576
34,3,1,5.631021348785557
34,3,2,5.957884445129455
35,1,0,2.34227733542231
35,1,1,3.5769933061115964
35,1,2,3.660678137979564
35,2,0,2.34227733542231
35,2,1,3.8899639500470977
35,2,2,4.499136751180318
35,3,0,2.34227733542231
35,3,1,4.322875220041328
35,3,2,4.5282902184849085
36,1,0,2.848412530179128
36,1,1,4.116372857630957
36,1,2,4.287089725052616
36,2,0,2.848412530179128
36,2,1,4.165147826998216
36,2,2,4.269866623660771
36,3,0,2.848412530179128
36,3,1,4.420725576240472
36,3,2,4.564602582573098
37,1,0,0.8981545732158653
37,1,1,3.050608182294187
37,1,2,3.5931230759486734
37,2,0,0.8981545732158653
37,2,1,3.798928371370609
37,2,2,4.109361417843701
37,3,0,0.8981545732158653
37,3,1,3.8264648656283082
37,3,2,4.237538028646441
38,1,0,1.8795460534547526
38,1,1,4.184957520740451
38,1,2,4.20268610938831
38,2,0,1.8795460534547526
38,2,1,4.284982695185414
38,2,2,4.491602285334186
38,3,0,1.8795460534547526
38,3,1,4.505560182057332
38,3,2,4.7184693578842625
39,1,0,2.9456054506543987
39,1,1,4.577942799990834
39,1,2,5.44715991481013
39,2,0,2.9456054506543987
39,2,1,5.2799755634991925
39,2,2,5.718140580519931
39,3,0,2.9456054506543987
39,3,1,5.585200214775429
39,3,2,6.164796995252464
40,1,0,0.8743465630801223
40,1,1,3.9195593822681483
40,1,2,4.153252341448994
40,2,0,0.8743465630801223
40,2,1,3.9386245696243387
40,2,2,4.412884634975341
40,3,0,0.8743465630801223
40,3,1,4.244745608303435
40,3,2,4.729786349100358
41,1,0,0.3990157376145502
41,1,1,3.51192702510034
41,1,2,3.899220855738246
41,2,0,0.3990157376145502
41,2,1,4.260277910488223
41,2,2,4.486801593428046
41,3,0,0.3990157376145502
41,3,1,4.299781143570456
41,3,2,4.8049703688578
42,1,0,1.5823259295876029
42,1,1,4.063079624424252
42,1,2,4.064850256877897
42,2,0,1.5823259295876029
42,2,1,3.9004021668648257
42,2,2,4.294537776817187
42,3,0,1.5823259295876029
42,3,1,4.013498508486674
42,3,2,4.9868460481479175
43,1,0,1.8618988136770307
43,1,1,4.707585014067801
43,1,2,4.752453391589814
43,2,0,1.8618988136770307
43,2,1,4.769152867948273
43,2,2,5.220166492880605
43,3,0,1.8618988136770307
43,3,1,5.016807361946595
43,3,2,5.509524607195595
44,1,0,3.10872081540699
44,1,1,4.701943118891398
44,1,2,4.868841724800829
44,2,0,3.10872081540699
44,2,1,4.810867348959809
44,2,2,5.5738783755010095
44,3,0,3.10872081540699
44,3,1,5.032233226633439
44,3,2,5.8565774878544925
45,1,0,0.38657970620752946
45,1,1,2.577530030936738
45,1,2,3.1051964420423435
45,2,0,0.38657970620752946
45,2,1,2.910848257979639
45,2,2,3.3722610146235095
45,3,0,0.38657970620752946
45,3,1,2.5928795138772602
45,3,2,3.7518096659962286
46,1,0,1.5823525706740993
46,1,1,3.7376264871855076
46,1,2,4.173749881557121
46,2,0,1.5823525706740993
46,2,1,4.378920820470989
46,2,2,4.645009909873659
46,3,0,1.5823525706740993
46,3,1,4.612487044505837
46,3,2,5.001237859082769
47,1,0,3.696069034949839
47,1,1,5.336880903844511
47,1,2,5.341324797030443
47,2,0,3.696069034949839
47,2,1,5.634717702596564
47,2,2,5.979618782599382
47,3,0,3.696069034949839
47,3,1,5.646231941923711
47,3,2,6.005707999538915
48,1,0,2.1509785778227117
48,1,1,5.241594759242294
48,1,2,5.524436444316907
48,2,0,2.1509785778227117
48,2,1,5.374126013332073
48,2,2,6.355193530727592
48,3,0,2.1509785778227117
48,3,1,5.244970291226143
48,3,2,6.636564392934556
49,1,0,1.4480528098261405
49,1,1,4.776732094809914
49,1,2,5.3805260340383745
49,2,0,1.4480528098261405
49,2,1,5.782811388078944
49,2,2,6.299119234597608
49,3,0,1.4480528098261405
49,3,1,5.971673101520754
49,3,2,6.173161179140223
50,1,0,2.330836365900345
50,1,1,3.925847521023012
50,1,2,4.331608295190278
50,2,0,2.330836365900345
50,2,1,4.554447245213045
50,2,2,4.97034544574013
50,3,0,2.330836365900345
50,3,1,4.3549250209572365
50,3,2,5.142383616633761
51,1,0,2.7008235117675965
51,1,1,3.7448267020936696
51,1,2,4.0557244730396285
51,2,0,2.7008235117675965
51,2,1,4.809498436390195
51,2,2,5.131684829075745
51,3,0,2.7008235117675965
51,3,1,4.539353329772617
51,3,2,5.055435937027548
52,1,0,3.0270098669998484
52,1,1,4.309724293782839
52,1,2,4.674895011687842
52,2,0,3.0270098669998484
52,2,1,5.740348417233888
52,2,2,5.9619177224310285
52,3,0,3.0270098669998484
52,3,1,5.609336975112995
52,3,2,6.138450163364899
53,1,0,0.7824478236056259
53,1,1,3.274173387775215
53,1,2,4.038552630097884
53,2,0,0.7824478236056259
53,2,1,3.432875735428643
53,2,2,4.618397652086622
53,3,0,0.7824478236056259
53,3,1,3.858111590057387
53,3,2,4.509583272790818
54,1,0,1.7690028409676117
54,1,1,5.275270859966355
54,1,2,5.314936331971253
54,2,0,1.7690028409676117
54,2,1,5.20472506876627
54,2,2,5.263838190764842
54,3,0,1.7690028409676117
54,3,1,5.433285339468331
54,3,2,5.609051148170083
55,1,0,2.150000991235092
55,1,1,4.523684157763508
55,1,2,4.613448464385177
55,2,0,2.150000991235092
55,2,1,4.452154579084734
55,2,2,4.863972392667348
55,3,0,2.150000991235092
55,3,1,4.148560309870923
55,3,2,5.091366588856584
56,1,0,3.542285564508358
56,1,1,4.733505045310123
56,1,2,5.02747853201208
56,2,0,3.542285564508358
56,2,1,5.22707089969578
56,2,2,5.394564065967743
56,3,0,3.542285564508358
56,3,1,5.458709864396363
56,3,2,5.650101420128424
57,1,0,0.3263217667552911
57,1,1,2.9543710812934414
57,1,2,3.2515490497827515
57,2,0,0.3263217667552911
57,2,1,3.452078795193227
57,2,2,3.7848743666267355
57,3,0,0.3263217667552911
57,3,1,3.413734570042167
57,3,2,4.046058473310551
58,1,0,2.880300215735682
58,1,1,4.963349322867092
58,1,2,5.28558484375323
58,2,0,2.880300215735682
58,2,1,5.09367406281916
58,2,2,5.92047214412579
58,3,0,2.880300215735682
58,3,1,5.769256113320756
58,3,2,6.286916953917585
59,1,0,2.1618528041778555
59,1,1,3.9323795983143497
59,1,2,4.494938446890398
59,2,0,2.1618528041778555
59,2,1,4.500608345085106
59,2,2,4.628039153296986
59,3,0,2.1618528041778555
59,3,1,4.448317399265139
59,3,2,4.5769272303097015
60,1,0,1.1953131848640484
60,1,1,3.4551671111072553
60,1,2,4.121599768634114
60,2,0,1.1953131848640484
