scheme,slot,prior_std_deg,sensing_fraction,elements,posterior_std_deg,raw_rate,net_rate,score
No sensing,210,7.908188033594275,0.0,8,7.908188033594275,0.7238607745428243,0.7238607745428243,
No sensing,211,7.909098429952916,0.0,8,7.909098429952916,0.7238061425258617,0.7238061425258617,
No sensing,212,7.910008721530191,0.0,8,7.910008721530191,0.7237515233788532,0.7237515233788532,
No sensing,213,7.9109189083622695,0.0,8,7.9109189083622695,0.7236969170969973,0.7236969170969973,
No sensing,214,7.9118289904853025,0.0,8,7.9118289904853025,0.7236423236754961,0.7236423236754961,
No sensing,215,7.912738967935419,0.0,8,7.912738967935419,0.7235877431095527,0.7235877431095527,
No sensing,216,7.913648840748728,0.0,8,7.913648840748728,0.7235331753943729,0.7235331753943729,
No sensing,217,7.9145586089613165,0.0,8,7.9145586089613165,0.7234786205251651,0.7234786205251651,
No sensing,218,7.915468272609251,0.0,8,7.915468272609251,0.7234240784971396,0.7234240784971396,
No sensing,219,7.91637783172858,0.0,8,7.91637783172858,0.7233695493055091,0.7233695493055091,
No sensing,220,7.917287286355327,0.0,8,7.917287286355327,0.7233150329454887,0.7233150329454887,
No sensing,221,7.918196636525497,0.0,8,7.918196636525497,0.723260529412295,0.723260529412295,
No sensing,222,7.919105882275075,0.0,8,7.919105882275075,0.7232060387011479,0.7232060387011479,
No sensing,223,7.920015023640024,0.0,8,7.920015023640024,0.7231515608072688,0.7231515608072688,
No sensing,224,7.920924060656288,0.0,8,7.920924060656288,0.7230970957258818,0.7230970957258818,
No sensing,225,7.921832993359788,0.0,8,7.921832993359788,0.723042643452213,0.723042643452213,
No sensing,226,7.922741821786427,0.0,8,7.922741821786427,0.7229882039814906,0.7229882039814906,
No sensing,227,7.923650545972085,0.0,8,7.923650545972085,0.7229337773089456,0.7229337773089456,
No sensing,228,7.924559165952623,0.0,8,7.924559165952623,0.7228793634298107,0.7228793634298107,
No sensing,229,7.92546768176388,0.0,8,7.92546768176388,0.7228249623393209,0.7228249623393209,
No sensing,230,7.926376093441677,0.0,8,7.926376093441677,0.722770574032714,0.722770574032714,
No sensing,231,7.9272844010218115,0.0,8,7.9272844010218115,0.7227161985052297,0.7227161985052297,
No sensing,232,7.928192604540063,0.0,8,7.928192604540063,0.7226618357521094,0.7226618357521094,
No sensing,233,7.929100704032188,0.0,8,7.929100704032188,0.7226074857685978,0.7226074857685978,
No sensing,234,7.930008699533926,0.0,8,7.930008699533926,0.7225531485499406,0.7225531485499406,
No sensing,235,7.930916591080992,0.0,8,7.930916591080992,0.7224988240913868,0.7224988240913868,
No sensing,236,7.931824378709084,0.0,8,7.931824378709084,0.7224445123881871,0.7224445123881871,
