angle_deg,bartlett,music
-12.5,0.47682428239780705,0.012736792282158736
-12.45,0.481550514759862,0.013073060153924003
-12.399999999999999,0.4862845892849729,0.013422743785769546
-12.349999999999998,0.49102591684967434,0.013786525063234077
-12.3,0.4957739056342678,0.014165128252727895
-12.25,0.500527961277731,0.014559323117766214
-12.2,0.5052874870337912,0.014969928300180362
-12.149999999999999,0.5100518839281163,0.015397814991898233
-12.099999999999998,0.5148205509165685,0.015843910925650004
-12.05,0.5195928850444708,0.016309204716052586
-12.0,0.524368281606837,0.016794750585994497
-11.95,0.5291461343095083,0.01730167351713584
-11.899999999999999,0.5339258354311467,0.01783117486770836
-11.849999999999998,0.5387067759860358,0.018384538505714594
-11.8,0.5434883458876235,0.01896313751115427
-11.75,0.5482699341127713,0.01956844150713843
-11.7,0.5530509288666337,0.020202024686776995
-11.649999999999999,0.5578307177481332,0.020865574610663642
-11.599999999999998,0.5626086879159615,0.02156090185875149
-11.55,0.5673842262550608,0.022289950630565658
-11.5,0.5721567195435209,0.02305481039920274
-11.45,0.5769255546198453,0.023857728737614603
-11.399999999999999,0.581690118550523,0.024701125450490753
-11.349999999999998,0.5864497987978496,0.02558760816189697
-11.3,0.5912039833879457,0.02651998952799834
-11.25,0.5959520610789135,0.027501306266034444
-11.2,0.6006934215290689,0.02853484021562369
-11.149999999999999,0.6054274554652009,0.02962414167691574
-11.099999999999998,0.6101535548507928,0.030773055302610545
-11.05,0.6148711130541538,0.03198574885804903
-11.0,0.6195795250163952,0.03326674520615266
-10.95,0.6242781874192023,0.034620957922779826
-10.899999999999999,0.6289664988523365,0.036053731004026424
-10.849999999999998,0.6336438599808175,0.037570883191211914
-10.799999999999997,0.6383096737117144,0.03917875751303691
-10.75,0.642963345360503,0.04088427672910918
-10.7,0.6476042828169233,0.0426950054563734
-10.649999999999999,0.6522318967102732,0.044619219871831026
-10.599999999999998,0.656845600574095,0.04666598601344333
-10.549999999999997,0.6614448110101844,0.04884524784865742
-10.5,0.6660289478518666,0.05116792644928012
-10.45,0.670597434326492,0.05364603180534879
-10.399999999999999,0.6751496972170716,0.05629278903238365
-10.349999999999998,0.6796851670230224,0.05912278097925174
-10.299999999999997,0.6842032781199416,0.06215210953109706
-10.25,0.6887034689183704,0.06539857822650746
-10.2,0.6931851820214756,0.0688818991727126
-10.149999999999999,0.6976478643816045,0.07262392764842963
-10.099999999999998,0.7020909674556499,0.0766489282301763
-10.049999999999997,0.7065139473591726,0.08098387676024464
-10.0,0.7109162650192219,0.08565880298346734
-9.95,0.7152973863258046,0.0907071791976271
-9.899999999999999,0.7196567822819423,0.09616636075850059
-9.849999999999998,0.7239939291522609,0.10207808470636497
-9.799999999999997,0.7283083086100703,0.1084890330601928
-9.75,0.7325994078828612,0.11545146734290467
-9.7,0.7368667198961845,0.12302394048261768
-9.649999999999999,0.7411097434158447,0.1312720911248324
-9.599999999999998,0.7453279831883711,0.14026952321549804
-9.549999999999997,0.7495209500796963,0.1500987699352877
-9.5,0.7536881612120058,0.1608523349097225
-9.45,0.7578291400987043,0.17263379399631357
-9.399999999999999,0.7619434167774392,0.18555892633268556
-9.349999999999998,0.7660305279411485,0.1997568216162478
-9.299999999999997,0.7700900170670665,0.2153708789334146
-9.25,0.7741214345436489,0.2325595671155085
-9.2,0.7781243377953739,0.2514967527984943
-9.149999999999999,0.7820982914053523,0.2723713143550485
-9.099999999999998,0.7860428672357286,0.29538564133188366
-9.049999999999997,0.7899576445458028,0.32075246422302855
-9.0,0.7938422101078382,0.34868926568446323
-8.95,0.7976961583205165,0.3794092968759699
-8.899999999999999,0.8015190913199799,0.4131079829869972
-8.849999999999998,0.8053106190884376,0.44994330117629805
-8.799999999999997,0.8090703595602805,0.4900086513454598
-8.75,0.8127979387256653,0.5332969844344172
-8.7,0.8164929907315361,0.5796557583485578
-8.649999999999999,0.8201551579800306,0.6287339836865092
-8.599999999999998,0.8237840912242446,0.6799255146069845
-8.549999999999997,0.8273794496613068,0.7323169345175472
-8.5,0.8309409010227393,0.7846534133044608
-8.45,0.8344681216620532,0.8353403056210219
-8.399999999999999,0.8379607966395546,0.8824993403306353
-8.349999999999998,0.8414186198043271,0.9240926722808456
-8.299999999999997,0.8448412938733468,0.9581135938561143
-8.25,0.8482285305077145,0.9828209198633635
-8.2,0.8515800503859575,0.9969721908506433
-8.149999999999999,0.8548955832743835,1.0
